7.700000000000000000e+01,5.500000000000000000e+01,4.700000000000000000e+01
1.990000000000000000e+02,1.810000000000000000e+02,1.500000000000000000e+02
1.420000000000000000e+02,1.180000000000000000e+02,1.010000000000000000e+02
1.480000000000000000e+02,8.100000000000000000e+01,5.800000000000000000e+01
2.400000000000000000e+02,2.350000000000000000e+02,2.260000000000000000e+02
1.750000000000000000e+02,1.480000000000000000e+02,1.170000000000000000e+02
1.980000000000000000e+02,1.700000000000000000e+02,9.000000000000000000e+01
1.010000000000000000e+02,8.300000000000000000e+01,6.900000000000000000e+01
2.050000000000000000e+02,1.910000000000000000e+02,1.800000000000000000e+02
6.900000000000000000e+01,7.200000000000000000e+01,9.000000000000000000e+01
1.040000000000000000e+02,1.060000000000000000e+02,1.470000000000000000e+02
2.800000000000000000e+01,2.300000000000000000e+01,2.100000000000000000e+01
1.120000000000000000e+02,1.030000000000000000e+02,9.200000000000000000e+01
1.850000000000000000e+02,1.190000000000000000e+02,4.500000000000000000e+01
1.280000000000000000e+02,1.550000000000000000e+02,1.610000000000000000e+02
1.680000000000000000e+02,1.640000000000000000e+02,1.460000000000000000e+02
2.260000000000000000e+02,2.100000000000000000e+02,1.860000000000000000e+02
4.700000000000000000e+01,5.000000000000000000e+01,5.700000000000000000e+01
1.540000000000000000e+02,1.230000000000000000e+02,7.400000000000000000e+01
1.520000000000000000e+02,1.450000000000000000e+02,1.370000000000000000e+02
2.160000000000000000e+02,1.970000000000000000e+02,1.610000000000000000e+02
1.800000000000000000e+02,3.100000000000000000e+01,2.500000000000000000e+01
2.230000000000000000e+02,2.150000000000000000e+02,2.090000000000000000e+02
3.300000000000000000e+01,7.600000000000000000e+01,1.220000000000000000e+02
1.060000000000000000e+02,1.060000000000000000e+02,1.100000000000000000e+02
1.690000000000000000e+02,9.900000000000000000e+01,1.000000000000000000e+02
1.940000000000000000e+02,1.620000000000000000e+02,1.260000000000000000e+02
1.830000000000000000e+02,1.720000000000000000e+02,1.610000000000000000e+02
1.310000000000000000e+02,1.320000000000000000e+02,1.240000000000000000e+02
7.600000000000000000e+01,1.300000000000000000e+02,1.340000000000000000e+02
1.890000000000000000e+02,1.380000000000000000e+02,7.600000000000000000e+01
1.270000000000000000e+02,5.400000000000000000e+01,4.700000000000000000e+01
2.270000000000000000e+02,1.740000000000000000e+02,3.900000000000000000e+01
1.820000000000000000e+02,5.800000000000000000e+01,6.200000000000000000e+01
8.900000000000000000e+01,1.180000000000000000e+02,9.000000000000000000e+01
1.270000000000000000e+02,9.600000000000000000e+01,8.100000000000000000e+01
1.270000000000000000e+02,9.400000000000000000e+01,5.100000000000000000e+01
2.180000000000000000e+02,1.880000000000000000e+02,1.240000000000000000e+02
1.560000000000000000e+02,1.380000000000000000e+02,1.140000000000000000e+02
1.790000000000000000e+02,1.860000000000000000e+02,1.900000000000000000e+02
